resource,linked_g,codes,manual
1641118226-9568648,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,Cc010Universal
1635268063-598463,"The licence descriptions refer to the following licences: 

- CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
- Creative Commons Attribution-ShareAlike 4.0 International (CC-BY-SA 4.0)

Please note that these licences are not in the provided list.",,Cc010Universal CC-BY-NC_v4
1635268063-588935,[CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode,CC-BY-NC_v4,
1635268063-57863,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,Cc010Universal
1635268063-579562,[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons),CC-BY_v4,
1635268063-5954,[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,CC-BY-NC-SA_v4,
1635268063-591422,"The selected licences from the provided description are: 
- 'Albert Schatz Collection': 'public domain'
- '/static/images/logo-loc-new-branding.svg': 'Public Domain'
- 'https://tile.loc.gov/storage-services/media/webcasts/2017/170919eeo0833/data/poster-image-accessibility-1.jpg': 'Public Domain'
- '/static/images/congress-gov.svg': 'Public Domain'
- '/static/images/copyright-gov.svg': 'Public Domain'",,Cc010Universal
1635268063-581866,"The licence description ""CC-BY-SA ['Creative Commons', 'Talis'] ['W3C Recommendation', 'Working Group Notes']"" refers to the following licences: [CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons)",CC-BY-SA_v4,
1635268063-595096,[CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons),CC-BY-SA_v4,
1635268063-594871,"The description refers to the following licences:

- GNU Lesser General Public License (LGPL)
- Creative Commons

There is no mention of the Open Source license in the provided description.",,LGPLv3
1645712351-8043017,The licence description refers to the [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International licence.,CC-BY-NC-SA_v4,
1645595496-6777816,GNU_GPL_v3,GNU_GPL_v3,
1638949164-9532564,['GNU_GPL_v3'],GNU_GPL_v3,
1635268063-59808,The licence description refers to the [CC-BY_v4] Creative Commons Attribution 4.0 International licence.,CC-BY_v4,
1635268063-595552,[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,CC-BY-NC-SA_v4,
1635268063-594798,"The following licences match the description:

- [CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons)
- [MIT] MIT License",CC-BY_v4,
1635268063-579188,"The licences corresponding to the given description are:

- [Cc010Universal] CC0 1.0 Universal (CC0 1.0) Public Domain Dedication (Creative Commons) https://creativecommons.org/publicdomain/zero/1.0/legalcode
- [CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode",Cc010Universal CC-BY-NC_v4,
1645711895-1029153,"The description refers to the following licences:

1. NONE
2. CC-BY-NC-SA_v4
3. NONE",CC-BY-NC-SA_v4,
1635268063-599884,[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons) https://creativecommons.org/licenses/by/4.0/legalcode,CC-BY_v4,
1635268063-590653,CC-BY-NC-SA_v4,CC-BY-NC-SA_v4,
1635268063-591035,The licence description ['CreativeCommon Attribution-NonCommercial-ShareAlike 4.0 International License'] refers to the [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International licence.,CC-BY-NC-SA_v4,
1645595889-5140848,"The licence description corresponds to the following licences: 

- GPL-3.0",,GNU_GPL_v3
1635268063-594207,[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons),CC-BY-NC-SA_v4,
1638798594-7252076,"The licence description ""CC BY-NC-SA 4.0"" corresponds to the following licences: 

- [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode

- [GNU_GPL_v3] GNU General Public License 3 (Free Software Foundation) https://www.gnu.org/licenses/gpl.html

- [NONE] (No licence matches the MIT License)",GNU_GPL_v3 CC-BY-NC-SA_v4,
1635268063-58968,[CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode,CC-BY-NC_v4,
1635268063-593289,"The description refers to the following licences: 

- Creative Commons BY-SA 4.0 (Creative Commons)
- NONE",,CC-BY-SA_v4
1635268063-601321,The description 'Creative Commons Attribution-ShareAlike license' refers to [CC-BY-SA_v4]. The description 'Creative Commons Zero license' refers to [Cc010Universal].,Cc010Universal CC-BY-SA_v4,
1635268063-581575,[CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/4.0/legalcode,CC-BY-SA_v4,
