resource,licence_g,linked_g
1641118226-9568648,"[""{'CC0': 'https://creativecommons.org/publicdomain/zero/1.0/'}"", '{}']",CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
1643622487-2183828,"[""{'Royalty Free Music': {'type': 'Royalty Free Music', 'description': 'Grants licenses of Royalty Free Music to customers'}, 'Performance Rights': {'type': 'Performance Rights', 'description': 'Licenses do not include performance rights'}, 'Basic License': {'type': 'Basic', 'description': 'Grants the right to non-commercial and temporally worldwide unrestricted use of a music track'}, 'Sound System License': {'type': 'Sound System', 'description': 'Permits the performance of a music track for the sounding of one (1) commercial area'}, 'Advertising License': {'type': 'Advertising', 'description': 'Grants the right to the unlimited use of a musical instrument for advertising and promotional purposes'}, 'Reproduction License': {'type': 'Reproduction', 'description': 'Grants the right to non-commercial, temporally unlimited worldwide use of a music track'}, 'TV and Movie License': {'type': 'TV and Movie', 'description': 'Grants the right to use a music track in TV advertising, editorial TV-reports, and more'}}"", ""[{'title': 'Standard', 'price': '53.50 EUR', 'description': 'For non-advertising use, unlimited in time, worldwide'}, {'title': 'Online Advertising', 'price': '160.50 EUR', 'description': 'For promotional context online, unlimited in time, worldwide'}, {'title': 'Reproduction 5.000', 'price': '133.00 EUR', 'description': 'For non-advertising use, unlimited in time, worldwide'}, {'title': 'Reproduction 10.000', 'price': '214.00 EUR', 'description': 'For non-advertising use, unlimited in time, worldwide'}, {'title': 'Radio Advertising', 'price': '160.50 EUR', 'description': 'For one year, national'}, {'title': 'Cinema Advertising', 'price': '160.50 EUR', 'description': 'For one year, national'}, {'title': 'Display Signage', 'price': '160.50 EUR', 'description': 'For one year, national'}, {'title': 'TV-Broadcast', 'price': '10.70 EUR', 'description': 'For non-commercial use'}, {'title': 'Advertising (TV)', 'price': '1,284.00 EUR', 'description': 'Valid for 1 year, national'}]"", ""{'Standard': 'proudmusiclibrary', 'Online Advertising': 'proudmusiclibrary', 'Sound System': 'proudmusiclibrary', 'Reproduction 5.000': 'proudmusiclibrary', 'Reproduction 10.000': 'proudmusiclibrary', 'Radio Advertising': 'proudmusiclibrary', 'Cinema Advertising': 'proudmusiclibrary', 'Display Signage': 'proudmusiclibrary', 'TV-Broadcast': 'proudmusiclibrary', 'Advertising (TV)': 'proudmusiclibrary'}""]","The selected licences from the list are:
- Basic License
- Reproduction License
- TV and Movie License
- Advertising License
- Sound System License

The licence descriptions do not match any of the licences from the given list."
1635268063-584985,"[""[{'name': 'W3C', 'url': 'http://www.w3.org'}]"", ""{'Omeka': 'Proudly powered by Omeka'}""]",NONE
1639391295-253099,"[""{'Terms of use': ['non-commercial use', 'author copy', 'scans with higher resolution and non-digitised material for non-commercial use'], 'Photographic Service': ['business or commercial use', 're-publication']}""]",NONE
1635268063-58232,"['Open Archives Initiative Protocol for Metadata Harvesting', ""['OpenRefine', 'Voyeur/Voyant', 'University of California Curation Center', 'EZID']""]",NONE
1635268063-598463,"[""[{'name': 'CC0-1.0', 'url': 'https://creativecommons.org/publicdomain/zero/1.0/'}, {'name': 'CC-BY-SA-4.0', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/'}]""]","The licence descriptions refer to the following licences: 

- CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
- Creative Commons Attribution-ShareAlike 4.0 International (CC-BY-SA 4.0)

Please note that these licences are not in the provided list."
1635268063-598693,"[""[{'url': 'https://www.babelscores.com/about-us', 'description': 'Terms & Conditions'}]""]",NONE
1645551129-2378705,"[""{'name': 'CCA 3.0', 'website': 'html5up.net/license'}""]",NONE
1635268063-593579,"[""['gratis license']"", ""{'Sony Music Entertainment': 'gratis license to stream over the internet all of the pre-1925 recordings in their catalog', 'University of California, Santa Barbara. Davidson Library, Department of Special Collections': 'permission to include in the National Jukebox hundreds of Victor recordings that derive from masters recorded in Europe by the Gramophone Company', 'EMI Music, Inc.': 'permission to include in the National Jukebox hundreds of Victor recordings that derive from masters recorded in Europe by the Gramophone Company', 'David Giovannoni and Mark Lynch': 'contributed more than 800 rare and very early Victor recordings to the National Jukebox project'}""]","The licence description ['gratis license'] refers to the following licences:
- [NONE]

There are no matches found in the list of licences for the given licence description."
1635268063-589167,"[""[{'name': 'unknown', 'url': ''}]""]",NONE
